id,surname,first_name,gender,title,profession_verbatim,occupation_group,legion_d_honneur,status,military_status,houseno,houseno_specification,name_old_verbatim,name_new,geo_long,geo_lat
3709,Rothiacob von,Unknown,M,Baron,Unknown,Adel,Unknown,Active,Civil,3,Unknown,Voltaire,Quai Voltaire,2.33075,48.859
3712,Langsdorff,Unknown,M,Baron,Unknown,Adel,Officier,Active,Civil,61,Unknown,Saint Dominique Saint Germain,Boulevard Saint-germain,2.33631,48.853
3719,Loos von,Unknown,M,Baron,Unknown,Adel,Unknown,Active,Civil,91,Unknown,De L' Université,Rue De L' Université,2.31594,48.8609
3720,Loos von,Unknown,F,Baronin,Unknown,Adel,Unknown,Active,Civil,91,Unknown,De L' Université,Rue De L' Université,2.31594,48.8609
3729,Mayendorff von,Unknown,F,Baronin,Unknown,Adel,Unknown,Active,Civil,20,Unknown,Barbet De Jouy,Rue Barbet-de-jouy,2.31747,48.8533
3751,Walsh,Unknown,M,Graf,Unknown,Adel,Unknown,Active,Civil,82,Unknown,De L' Université,Rue De L' Université,2.31594,48.8609
3758,Welden,Unknown,F,Baronin,Unknown,Adel,Unknown,Active,Civil,57,Unknown,De Varennes Saint Germain,Rue De Varenne,2.32205,48.8544
3770,Schloißnigg von,Unknown,M,Baron,erster Secretär der österreichischen Gesandtschaft,Beamte,Unknown,Active,Civil,11,Unknown,Las Cases,Rue Las Cases,2.32111,48.8582
3779,Schonen von,Unknown,F,Baronin,Unknown,Adel,Unknown,Active,Civil,7,Unknown,Saint Guillaume,Rue Saint-guillaume,2.32855,48.8543
3786,Schuetchin von,Unknown,F,Gräfin,Unknown,Adel,Unknown,Active,Civil,71,Unknown,Saint Dominique,Rue Saint-dominique,2.31056,48.86
3788,Schulenburg von,Unknown,Unknown,Graf und Gräfin,Unknown,Adel,Unknown,Active,Civil,1,Unknown,D' Orsay,Quai D' Orsay,2.31,48.8628
3800,Stael von,Unknown,F,Baronin,Unknown,Adel,Unknown,Active,Civil,109,Unknown,Saint Dominique,Rue Saint-dominique,2.31056,48.86
3809,Essertenne,Unknown,F,Gräfin,Unknown,Adel,Unknown,Active,Civil,20,Unknown,Saint Guillaume,Rue Saint-guillaume,2.32855,48.8543
3810,Eßling,Unknown,F,Baronin,Unknown,Adel,Unknown,Active,Civil,16,Unknown,Oudinot,Rue Oudinot,2.3175,48.8501
3811,Eßling,Unknown,F,Prinzessin,Unknown,Adel,Unknown,Active,Civil,94,Unknown,De Lille,Rue De Lille,2.32618,48.8596
3812,Quelen von,Unknown,F,Gräfin,Unknown,Adel,Unknown,Active,Civil,91,Unknown,De L' Université,Rue De L' Université,2.31594,48.8609
3814,Schulenburg von,Unknown,F,Gräfin,Unknown,Adel,Unknown,Active,Civil,1,Unknown,D' Orsay,Quai D' Orsay,2.31,48.8628
3819,Nieuwerkerke von,Ch.,Unknown,Graf und Gräfin,Unknown,Adel,Officier,Active,Civil,13,Unknown,Las Cases,Rue Las Cases,2.32111,48.8582
4078,Heeckeren von,Unknown,M,Baron,Senator,Adel,Chevalier,Active,Civil,84,Unknown,De La Victoire,Rue De La Victoire,2.33521,48.8752
4108,Kronowska,Unknown,F,Gräfin v Tabaß,Unknown,Adel,Unknown,Active,Civil,44,Unknown,Basse Du Rempart,Unknown,0,0
4767,Narischkine von,Unknown,F,Gräfin,Unknown,Adel,Unknown,Active,Civil,28,bis,De Rivoli,Rue De Rivoli,2.35367,48.8569
1275,Ribbentrop von,Adolph,M,Baron,Rentner,Rentner,Unknown,Pensioner,Civil,23,Unknown,Neuve Bréda,Rue Clauzel,2.33829,48.8792
3750,Walsh,Unknown,F,Gräfin,Eigenthümerin,Rentner,Unknown,Annuitant,Civil,82,Unknown,De L' Université,Rue De L' Université,2.31594,48.8609
